Frame,EmptyAxis,PosX,PosY,PosZ
0,Car Axis.004,5.0,110.0,2.200000047683716
0,Car Axis.003,0.0,-10.0,2.200000047683716
0,Car Axis.002,5.0,120.0,2.200000047683716
0,Car Axis,0.0,-20.0,2.200000047683716
0,Car Axis.001,5.0,120.0,2.200000047683716
1,Car Axis.004,5.0,109.99066162109375,2.200000047683716
1,Car Axis.003,0.0,-9.98132610321045,2.200000047683716
1,Car Axis.002,5.0,119.53642272949219,2.200000047683716
1,Car Axis,0.0,-19.16666603088379,2.200000047683716
1,Car Axis.001,5.0,118.88888549804688,2.200000047683716
2,Car Axis.004,5.0,109.9813232421875,2.200000047683716
2,Car Axis.003,0.0,-9.962651252746582,2.200000047683716
2,Car Axis.002,5.0,119.07284545898438,2.200000047683716
2,Car Axis,0.0,-18.33333396911621,2.200000047683716
2,Car Axis.001,5.0,117.77777862548828,2.200000047683716
3,Car Axis.004,5.0,109.97199249267578,2.200000047683716
3,Car Axis.003,0.0,-9.943977355957031,2.200000047683716
3,Car Axis.002,5.0,118.60926818847656,2.200000047683716
3,Car Axis,0.0,-17.5,2.200000047683716
3,Car Axis.001,5.0,116.66666412353516,2.200000047683716
4,Car Axis.004,5.0,109.96265411376953,2.200000047683716
4,Car Axis.003,0.0,-9.92530345916748,2.200000047683716
4,Car Axis.002,5.0,118.14569854736328,2.200000047683716
4,Car Axis,0.0,-16.66666603088379,2.200000047683716
4,Car Axis.001,5.0,115.55555725097656,2.200000047683716
5,Car Axis.004,5.0,109.95331573486328,2.200000047683716
5,Car Axis.003,0.0,-9.90662956237793,2.200000047683716
5,Car Axis.002,5.0,117.68212127685547,2.200000047683716
5,Car Axis,0.0,-15.833333969116211,2.200000047683716
5,Car Axis.001,5.0,114.44444274902344,2.200000047683716
6,Car Axis.004,5.0,109.94397735595703,2.200000047683716
6,Car Axis.003,0.0,-9.887954711914062,2.200000047683716
6,Car Axis.002,5.0,117.21854400634766,2.200000047683716
6,Car Axis,0.0,-15.0,2.200000047683716
6,Car Axis.001,5.0,113.33333587646484,2.200000047683716
7,Car Axis.004,5.0,109.93463897705078,2.200000047683716
7,Car Axis.003,0.0,-9.869280815124512,2.200000047683716
7,Car Axis.002,5.0,116.75496673583984,2.200000047683716
7,Car Axis,0.0,-14.166666030883789,2.200000047683716
7,Car Axis.001,5.0,112.22222137451172,2.200000047683716
8,Car Axis.004,5.0,109.92530059814453,2.200000047683716
8,Car Axis.003,0.0,-9.850606918334961,2.200000047683716
8,Car Axis.002,5.0,116.29138946533203,2.200000047683716
8,Car Axis,0.0,-13.333333969116211,2.200000047683716
8,Car Axis.001,5.0,111.11111450195312,2.200000047683716
9,Car Axis.004,5.0,109.91596984863281,2.200000047683716
9,Car Axis.003,0.0,-9.83193302154541,2.200000047683716
9,Car Axis.002,5.0,115.82781219482422,2.200000047683716
9,Car Axis,0.0,-12.5,2.200000047683716
9,Car Axis.001,5.0,110.0,2.200000047683716
10,Car Axis.004,5.0,109.90663146972656,2.200000047683716
10,Car Axis.003,0.0,-9.813258171081543,2.200000047683716
10,Car Axis.002,5.0,115.3642349243164,2.200000047683716
10,Car Axis,0.0,-11.666666984558105,2.200000047683716
10,Car Axis.001,5.0,108.88888549804688,2.200000047683716
11,Car Axis.004,5.0,109.89729309082031,2.200000047683716
11,Car Axis.003,0.0,-9.794584274291992,2.200000047683716
11,Car Axis.002,5.0,114.90066528320312,2.200000047683716
11,Car Axis,0.0,-10.833333015441895,2.200000047683716
11,Car Axis.001,5.0,107.77777862548828,2.200000047683716
12,Car Axis.004,5.0,109.88795471191406,2.200000047683716
12,Car Axis.003,0.0,-9.775910377502441,2.200000047683716
12,Car Axis.002,5.0,114.43708801269531,2.200000047683716
12,Car Axis,0.0,-10.0,2.200000047683716
12,Car Axis.001,5.0,106.66666412353516,2.200000047683716
13,Car Axis.004,5.0,109.87861633300781,2.200000047683716
13,Car Axis.003,0.0,-9.75723648071289,2.200000047683716
13,Car Axis.002,5.0,113.9735107421875,2.200000047683716
13,Car Axis,0.0,-9.166666984558105,2.200000047683716
13,Car Axis.001,5.0,105.55555725097656,2.200000047683716
14,Car Axis.004,5.0,109.86927795410156,2.200000047683716
14,Car Axis.003,0.0,-9.738561630249023,2.200000047683716
14,Car Axis.002,5.0,113.50993347167969,2.200000047683716
14,Car Axis,0.0,-8.333333015441895,2.200000047683716
14,Car Axis.001,5.0,104.44444274902344,2.200000047683716
15,Car Axis.004,5.0,109.85994720458984,2.200000047683716
15,Car Axis.003,0.0,-9.719887733459473,2.200000047683716
15,Car Axis.002,5.0,113.04635620117188,2.200000047683716
15,Car Axis,0.0,-7.5,2.200000047683716
15,Car Axis.001,5.0,103.33333587646484,2.200000047683716
16,Car Axis.004,5.0,109.8506088256836,2.200000047683716
16,Car Axis.003,0.0,-9.701213836669922,2.200000047683716
16,Car Axis.002,5.0,112.58277893066406,2.200000047683716
16,Car Axis,0.0,-6.6666669845581055,2.200000047683716
16,Car Axis.001,5.0,102.22222137451172,2.200000047683716
17,Car Axis.004,5.0,109.84127044677734,2.200000047683716
17,Car Axis.003,0.0,-9.682539939880371,2.200000047683716
17,Car Axis.002,5.0,112.11920166015625,2.200000047683716
17,Car Axis,0.0,-5.8333330154418945,2.200000047683716
17,Car Axis.001,5.0,101.11111450195312,2.200000047683716
18,Car Axis.004,5.0,109.8319320678711,2.200000047683716
18,Car Axis.003,0.0,-9.663865089416504,2.200000047683716
18,Car Axis.002,5.0,111.65563201904297,2.200000047683716
18,Car Axis,0.0,-5.0,2.200000047683716
18,Car Axis.001,5.0,100.0,2.200000047683716
19,Car Axis.004,5.0,109.82259368896484,2.200000047683716
19,Car Axis.003,0.0,-9.645191192626953,2.200000047683716
19,Car Axis.002,5.0,111.19205474853516,2.200000047683716
19,Car Axis,0.0,-4.1666669845581055,2.200000047683716
19,Car Axis.001,5.0,98.88888549804688,2.200000047683716
20,Car Axis.004,5.0,109.8132553100586,2.200000047683716
20,Car Axis.003,0.0,-9.626517295837402,2.200000047683716
20,Car Axis.002,5.0,110.72847747802734,2.200000047683716
20,Car Axis,0.0,-3.333333969116211,2.200000047683716
20,Car Axis.001,5.0,97.77777862548828,2.200000047683716
21,Car Axis.004,5.0,109.80392456054688,2.200000047683716
21,Car Axis.003,0.0,-9.607843399047852,2.200000047683716
21,Car Axis.002,5.0,110.26490020751953,2.200000047683716
21,Car Axis,0.0,-2.5,2.200000047683716
21,Car Axis.001,5.0,96.66666412353516,2.200000047683716
22,Car Axis.004,5.0,109.79458618164062,2.200000047683716
22,Car Axis.003,0.0,-9.589168548583984,2.200000047683716
22,Car Axis.002,5.0,109.80132293701172,2.200000047683716
22,Car Axis,0.0,-1.666666030883789,2.200000047683716
22,Car Axis.001,5.0,95.55555725097656,2.200000047683716
23,Car Axis.004,5.0,109.78524780273438,2.200000047683716
23,Car Axis.003,0.0,-9.570494651794434,2.200000047683716
23,Car Axis.002,5.0,109.3377456665039,2.200000047683716
23,Car Axis,0.0,-0.8333339691162109,2.200000047683716
23,Car Axis.001,5.0,94.44444274902344,2.200000047683716
24,Car Axis.004,5.0,109.77590942382812,2.200000047683716
24,Car Axis.003,0.0,-9.551820755004883,2.200000047683716
24,Car Axis.002,5.0,108.87417602539062,2.200000047683716
24,Car Axis,0.0,0.0,2.200000047683716
24,Car Axis.001,5.0,93.33333587646484,2.200000047683716
25,Car Axis.004,5.0,109.76657104492188,2.200000047683716
25,Car Axis.003,0.0,-9.533146858215332,2.200000047683716
25,Car Axis.002,5.0,108.41059875488281,2.200000047683716
25,Car Axis,0.0,0.8333339691162109,2.200000047683716
25,Car Axis.001,5.0,92.22222137451172,2.200000047683716
26,Car Axis.004,5.0,109.75723266601562,2.200000047683716
26,Car Axis.003,0.0,-9.514472007751465,2.200000047683716
26,Car Axis.002,5.0,107.947021484375,2.200000047683716
26,Car Axis,0.0,1.666666030883789,2.200000047683716
26,Car Axis.001,5.0,91.11111450195312,2.200000047683716
27,Car Axis.004,5.0,109.7479019165039,2.200000047683716
27,Car Axis.003,0.0,-9.495798110961914,2.200000047683716
27,Car Axis.002,5.0,107.48344421386719,2.200000047683716
27,Car Axis,0.0,2.5,2.200000047683716
27,Car Axis.001,5.0,90.0,2.200000047683716
28,Car Axis.004,5.0,109.73856353759766,2.200000047683716
28,Car Axis.003,0.0,-9.477124214172363,2.200000047683716
28,Car Axis.002,5.0,107.01986694335938,2.200000047683716
28,Car Axis,0.0,3.333333969116211,2.200000047683716
28,Car Axis.001,5.0,88.88888549804688,2.200000047683716
29,Car Axis.004,5.0,109.7292251586914,2.200000047683716
29,Car Axis.003,0.0,-9.458450317382812,2.200000047683716
29,Car Axis.002,5.0,106.55628967285156,2.200000047683716
29,Car Axis,0.0,4.166666030883789,2.200000047683716
29,Car Axis.001,5.0,87.77777862548828,2.200000047683716
30,Car Axis.004,5.0,109.71988677978516,2.200000047683716
30,Car Axis.003,0.0,-9.439775466918945,2.200000047683716
