Frame,EmptyAxis,PosX,PosY,PosZ
0,Car Axis,0.5,120.0,2.549999952316284
0,Car Axis.001,0.5,60.0,2.549999952316284
1,Car Axis,0.5,119.90666961669922,2.549999952316284
1,Car Axis.001,0.5,60.0,2.549999952316284
2,Car Axis,0.5,119.8133316040039,2.549999952316284
2,Car Axis.001,0.5,60.0,2.549999952316284
3,Car Axis,0.5,119.72000122070312,2.549999952316284
3,Car Axis.001,0.5,60.0,2.549999952316284
4,Car Axis,0.5,119.62666320800781,2.549999952316284
4,Car Axis.001,0.5,60.0,2.549999952316284
5,Car Axis,0.5,119.53333282470703,2.549999952316284
5,Car Axis.001,0.5,60.0,2.549999952316284
6,Car Axis,0.5,119.44000244140625,2.549999952316284
6,Car Axis.001,0.5,60.0,2.549999952316284
7,Car Axis,0.5,119.34666442871094,2.549999952316284
7,Car Axis.001,0.5,60.0,2.549999952316284
8,Car Axis,0.5,119.25333404541016,2.549999952316284
8,Car Axis.001,0.5,60.0,2.549999952316284
9,Car Axis,0.5,119.16000366210938,2.549999952316284
9,Car Axis.001,0.5,60.0,2.549999952316284
10,Car Axis,0.5,119.06666564941406,2.549999952316284
10,Car Axis.001,0.5,60.0,2.549999952316284
11,Car Axis,0.5,118.97333526611328,2.549999952316284
11,Car Axis.001,0.5,60.0,2.549999952316284
12,Car Axis,0.5,118.87999725341797,2.549999952316284
12,Car Axis.001,0.5,60.0,2.549999952316284
13,Car Axis,0.5,118.78666687011719,2.549999952316284
13,Car Axis.001,0.5,60.0,2.549999952316284
14,Car Axis,0.5,118.6933364868164,2.549999952316284
14,Car Axis.001,0.5,60.0,2.549999952316284
15,Car Axis,0.5,118.5999984741211,2.549999952316284
15,Car Axis.001,0.5,60.0,2.549999952316284
16,Car Axis,0.5,118.50666809082031,2.549999952316284
16,Car Axis.001,0.5,60.0,2.549999952316284
17,Car Axis,0.5,118.413330078125,2.549999952316284
17,Car Axis.001,0.5,60.0,2.549999952316284
18,Car Axis,0.5,118.31999969482422,2.549999952316284
18,Car Axis.001,0.5,60.0,2.549999952316284
19,Car Axis,0.5,118.22666931152344,2.549999952316284
19,Car Axis.001,0.5,60.0,2.549999952316284
20,Car Axis,0.5,118.13333129882812,2.549999952316284
20,Car Axis.001,0.5,60.0,2.549999952316284
21,Car Axis,0.5,118.04000091552734,2.549999952316284
21,Car Axis.001,0.5,60.0,2.549999952316284
22,Car Axis,0.5,117.94667053222656,2.549999952316284
22,Car Axis.001,0.5,60.0,2.549999952316284
23,Car Axis,0.5,117.85333251953125,2.549999952316284
23,Car Axis.001,0.5,60.0,2.549999952316284
24,Car Axis,0.5,117.76000213623047,2.549999952316284
