Frame,ID do Carro,Velocidade (km/h)
270,1,88
271,1,83
272,1,80
273,1,75
274,1,75
280,1,74
281,1,72
282,1,70
283,1,68
284,1,65
285,1,64
286,1,62
287,1,61
288,1,59
289,1,57
293,1,59
294,1,58
295,1,58
296,1,51
297,1,44
298,1,45
299,1,38
300,1,36
301,1,36
302,1,33
303,1,34
304,1,34
305,1,34
306,1,22
307,1,23
308,1,24
309,1,23
310,1,24
311,1,22
312,1,21
313,1,21
314,1,21
315,1,21
316,1,21
317,1,21
318,1,20
319,1,20
320,1,20
321,1,21
322,1,19
323,1,19
324,1,18
325,1,18
326,1,19
327,1,18
328,1,19
329,1,19
330,1,18
331,1,19
332,1,19
333,1,19
334,1,19
335,1,19
336,1,20
337,1,19
338,1,20
339,1,20
340,1,19
341,1,19
342,1,19
343,1,18
344,1,18
345,1,18
346,1,19
347,1,19
348,1,19
349,1,19
350,1,19
351,1,18
352,1,19
353,1,19
354,1,19
355,1,19
356,1,19
357,1,18
358,1,18
359,1,18
360,1,18
361,1,18
362,1,19
363,1,18
364,1,18
365,1,18
366,1,19
367,1,19
368,1,18
369,1,19
370,1,20
371,1,20
372,1,20
373,1,20
374,1,20
375,1,19
376,1,19
377,1,18
378,1,18
379,1,18
380,1,18
381,1,18
382,1,18
383,1,18
384,1,19
385,1,19
386,1,19
387,1,20
388,1,20
389,1,21
390,1,21
391,1,20
392,1,20
393,1,19
394,1,19
395,1,18
396,1,18
397,1,17
398,1,17
399,1,16
400,1,16
401,1,16
402,1,16
403,1,18
404,1,19
405,1,19
406,1,19
407,1,19
408,1,19
409,1,19
410,1,20
411,1,20
411,2,7
412,1,20
412,2,7
413,1,20
413,2,10
414,1,19
414,2,8
415,1,19
415,2,9
416,1,19
417,1,18
418,1,16
418,2,11
419,1,16
419,2,11
420,1,16
420,2,12
421,1,17
421,2,13
422,1,16
422,2,13
423,1,16
423,2,10
424,1,17
424,2,10
425,1,18
425,2,9
426,1,19
426,2,9
427,1,19
427,2,10
428,1,19
429,1,20
430,1,20
431,1,20
432,1,19
433,1,19
434,1,20
435,1,20
436,1,19
437,1,20
437,2,15
438,1,19
439,1,17
439,2,17
440,1,18
440,2,17
441,1,17
441,2,15
442,1,16
442,2,14
443,1,17
443,2,12
444,1,16
445,1,17
445,2,13
446,1,18
447,1,18
447,2,12
448,1,17
448,2,11
449,1,18
449,2,12
450,1,19
450,2,12
451,1,20
451,2,14
452,1,19
452,2,14
453,1,20
453,2,15
454,1,19
454,2,14
455,1,19
455,2,14
456,1,18
456,2,13
457,1,18
457,2,14
458,1,18
458,2,13
459,1,19
459,2,12
460,1,19
460,2,12
461,1,19
461,2,11
462,1,18
463,1,18
463,2,12
464,1,18
465,1,19
466,1,18
467,1,19
468,1,18
469,1,18
470,1,18
471,1,19
472,1,19
472,2,15
473,1,19
473,2,16
474,1,18
474,2,18
475,1,18
475,2,18
476,1,19
476,2,17
477,1,19
477,2,17
478,1,19
478,2,12
479,1,18
479,2,13
480,1,18
480,2,13
481,1,19
481,2,13
482,1,19
482,2,13
483,1,18
483,2,14
484,1,18
484,2,13
485,1,18
485,2,13
486,1,18
486,2,14
487,1,18
487,2,15
488,1,17
488,2,15
489,1,18
489,2,14
490,1,19
490,2,14
491,1,19
491,2,12
492,1,19
492,2,13
493,1,19
493,2,13
494,1,18
494,2,14
495,1,20
495,2,15
496,1,19
496,2,14
497,1,20
497,2,15
498,1,21
498,2,14
499,1,22
499,2,14
500,1,22
500,2,14
501,1,23
501,2,11
502,1,22
502,2,12
503,1,22
503,2,11
504,1,21
504,2,11
505,1,21
505,2,10
506,1,23
506,2,9
507,1,23
507,2,9
508,1,23
508,2,8
509,1,21
509,2,8
510,1,21
511,1,20
511,2,9
512,1,21
512,2,8
513,1,22
513,2,9
514,1,21
514,2,9
515,1,21
515,2,10
516,1,21
516,2,8
517,1,21
517,2,8
