Frame,ID do Carro,Velocidade (km/h)
270,1,939
271,1,882
272,1,844
273,1,799
274,1,786
280,1,765
281,1,737
282,1,711
283,1,690
284,1,663
285,1,642
286,1,622
287,1,606
288,1,589
289,1,571
293,1,572
294,1,557
295,1,556
296,1,451
297,1,362
298,1,366
299,1,298
300,1,276
301,1,268
302,1,248
303,1,251
304,1,249
305,1,247
306,1,151
307,1,151
308,1,157
309,1,153
310,1,157
311,1,140
312,1,133
313,1,133
314,1,129
315,1,127
316,1,129
317,1,126
318,1,123
319,1,121
320,1,121
321,1,123
322,1,110
323,1,107
324,1,105
325,1,102
326,1,104
327,1,98
328,1,102
329,1,102
330,1,99
331,1,104
332,1,102
333,1,103
334,1,103
335,1,102
336,1,104
337,1,101
338,1,100
339,1,99
340,1,99
341,1,96
342,1,93
343,1,92
344,1,90
345,1,90
346,1,93
347,1,93
348,1,92
349,1,92
350,1,90
351,1,86
352,1,88
353,1,89
354,1,89
355,1,87
356,1,85
357,1,82
358,1,80
359,1,79
360,1,80
361,1,81
362,1,82
363,1,80
364,1,80
365,1,78
366,1,81
367,1,79
368,1,77
369,1,79
370,1,84
371,1,83
372,1,83
373,1,82
374,1,79
375,1,75
376,1,75
377,1,74
378,1,71
379,1,71
380,1,72
381,1,70
382,1,69
383,1,69
384,1,71
385,1,71
386,1,72
387,1,74
388,1,75
389,1,78
390,1,78
391,1,73
392,1,71
393,1,70
394,1,70
395,1,63
396,1,62
397,1,61
398,1,59
399,1,56
400,1,56
401,1,57
402,1,56
403,1,61
404,1,64
405,1,63
406,1,62
407,1,63
408,1,62
409,1,63
410,1,66
411,1,64
411,2,117
412,1,64
412,2,119
413,1,63
413,2,157
414,1,62
414,2,125
415,1,61
415,2,138
416,1,59
417,1,56
418,1,51
418,2,172
419,1,50
419,2,161
420,1,50
420,2,182
421,1,52
421,2,187
422,1,50
422,2,190
423,1,49
423,2,157
424,1,51
424,2,149
425,1,55
425,2,138
426,1,56
426,2,141
427,1,58
427,2,147
428,1,57
429,1,59
430,1,59
431,1,58
432,1,55
433,1,55
434,1,56
435,1,56
436,1,55
437,1,55
437,2,208
438,1,52
439,1,48
439,2,251
440,1,49
440,2,236
441,1,47
441,2,212
442,1,44
442,2,194
443,1,46
443,2,170
444,1,45
445,1,47
445,2,176
446,1,50
447,1,48
447,2,163
448,1,47
448,2,154
449,1,48
449,2,168
450,1,51
450,2,164
451,1,53
451,2,188
452,1,51
452,2,192
453,1,53
453,2,199
454,1,50
454,2,191
455,1,50
455,2,189
456,1,48
456,2,173
457,1,46
457,2,185
458,1,45
458,2,174
459,1,49
459,2,151
460,1,47
460,2,152
461,1,46
461,2,141
462,1,45
463,1,45
463,2,143
464,1,45
465,1,46
466,1,44
467,1,45
